label,category,cost,throughput_kinfs,latency_ms,embed_gb,gpu,cpu,num_gpus,num_nodes,cgra,interconnect,bottleneck
1xRTX 4090,GPU-only,2600,985.9118547406384,4.154529616724738,16,RTX 4090,,1,0,,,GPU embed
1xRTX 5090,GPU-only,3300,1683.4523926020156,2.4330952380952384,16,RTX 5090,,1,0,,,GPU embed
1xA100 40GB,GPU-only,10800,1546.6036839391618,2.6483837084673096,16,A100 40GB,,1,0,,,GPU embed
2xA100 40GB,Multi-GPU,27000,2721.396540175777,1.505109578678099,16,A100 40GB,,2,0,,,GPU embed
4xA100 40GB,Multi-GPU,50000,4313.928589733626,0.9494825690317971,16,A100 40GB,,4,0,,,GPU embed
1xA100 80GB,GPU-only,15800,1972.2072096395527,2.0768608795161025,16,A100 80GB,,1,0,,,GPU embed
2xA100 80GB,Multi-GPU,33000,3359.171826595527,1.2193481642024957,16,A100 80GB,,2,0,,,GPU embed
4xA100 80GB,Multi-GPU,60000,5148.244309771181,0.7956110381603182,16,A100 80GB,,4,0,,,GPU embed
1x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1100,141.87674313990107,32.379065870129864,16,RTX 4060,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1100,141.87674313990107,31.527097870129865,16,RTX 4060,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,1100,141.87674313990107,30.735714261240975,16,RTX 4060,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,1900,280.8185264778272,18.094868243766726,16,RTX 4060,Xeon-4ch,1,2,,PCIe4,CPU embed
2x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,1900,280.8185264778272,17.242900243766726,16,RTX 4060,Xeon-4ch,1,2,,PCIe5,CPU embed
2x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,1900,280.8185264778272,16.451516634877837,16,RTX 4060,Xeon-4ch,1,2,,NVLink,CPU embed
4x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,3500,555.8278479469835,10.878124167036008,16,RTX 4060,Xeon-4ch,1,4,,PCIe4,CPU embed
4x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,3500,555.8278479469835,10.026156167036007,16,RTX 4060,Xeon-4ch,1,4,,PCIe5,CPU embed
4x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,3500,555.8278479469835,9.23477255814712,16,RTX 4060,Xeon-4ch,1,4,,NVLink,CPU embed
8x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,6700,1100.1574590833434,7.232039421407338,16,RTX 4060,Xeon-4ch,1,8,,PCIe4,CPU embed
8x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,6700,1100.1574590833434,6.380071421407338,16,RTX 4060,Xeon-4ch,1,8,,PCIe5,CPU embed
8x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,6700,1100.1574590833434,5.588687812518449,16,RTX 4060,Xeon-4ch,1,8,,NVLink,CPU embed
16x4-ch DDR5+RTX 4060@PCIe4,CPU+GPU,13100,2177.556304973343,5.389943618790433,16,RTX 4060,Xeon-4ch,1,16,,PCIe4,CPU embed
16x4-ch DDR5+RTX 4060@PCIe5,CPU+GPU,13100,2177.556304973343,4.5379756187904325,16,RTX 4060,Xeon-4ch,1,16,,PCIe5,CPU embed
16x4-ch DDR5+RTX 4060@NVLink,CPU+GPU,13100,2177.556304973343,3.7465920099015433,16,RTX 4060,Xeon-4ch,1,16,,NVLink,CPU embed
1x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,1500,141.87674313990107,31.524065870129863,16,RTX PRO 4500,Xeon-4ch,1,1,,PCIe4,CPU embed
1x4-ch DDR5+RTX PRO 4500@PCIe5,CPU+GPU,1500,141.87674313990107,30.672097870129864,16,RTX PRO 4500,Xeon-4ch,1,1,,PCIe5,CPU embed
1x4-ch DDR5+RTX PRO 4500@NVLink,CPU+GPU,1500,141.87674313990107,29.880714261240975,16,RTX PRO 4500,Xeon-4ch,1,1,,NVLink,CPU embed
2x4-ch DDR5+RTX PRO 4500@PCIe4,CPU+GPU,2300,280.8185264778272,17.239868243766725,16,RTX PRO 4500,Xeon-4ch,1,2,,PCIe4,CPU embed
